2021-05-01 09:40:43,968 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1dfd2f7a: startup date [Sat May 01 09:40:43 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2021-05-01 09:45:27,274 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-05-01 09:45:27,405 | INFO  | PListStore:[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-05-01 09:45:27,555 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59256-1619842527419-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:45:27,599 | INFO  | Listening for connections at: tcp://Mahesh:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:45:27,602 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:45:27,610 | INFO  | Listening for connections at: amqp://Mahesh:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:45:27,613 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:45:27,620 | INFO  | Listening for connections at: stomp://Mahesh:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:45:27,622 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:45:27,629 | INFO  | Listening for connections at: mqtt://Mahesh:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:45:27,631 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:45:27,640 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2021-05-01 09:45:27,842 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2021-05-01 09:45:28,302 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@386f0da3{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-05-01 09:45:28,448 | INFO  | Listening for connections at ws://Mahesh:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-05-01 09:45:28,449 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:45:28,452 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59256-1619842527419-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:45:28,455 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:45:29,695 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-05-01 09:45:29,697 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-05-01 09:47:07,003 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp600958416-36
2021-05-01 09:59:28,136 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59256-1619842527419-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 09:59:28,139 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,140 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,142 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,144 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,154 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,161 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 09:59:28,166 | INFO  | PListStore:[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2021-05-01 09:59:28,168 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 09:59:28,170 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 09:59:28,171 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 09:59:28,274 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59256-1619842527419-0:1) uptime 14 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 09:59:28,275 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59256-1619842527419-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 09:59:28,277 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@71423665: startup date [Sat May 01 09:45:25 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2021-05-01 09:59:35,191 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@71423665: startup date [Sat May 01 09:59:35 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-05-01 09:59:36,234 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:59:36,387 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-05-01 09:59:36,472 | INFO  | PListStore:[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-05-01 09:59:36,613 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59731-1619843376488-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:59:36,694 | INFO  | Listening for connections at: tcp://Mahesh:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:59:36,697 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:59:36,704 | INFO  | Listening for connections at: amqp://Mahesh:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:59:36,707 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:59:36,715 | INFO  | Listening for connections at: stomp://Mahesh:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:59:36,719 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:59:36,726 | INFO  | Listening for connections at: mqtt://Mahesh:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-05-01 09:59:36,729 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:59:36,739 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2021-05-01 09:59:36,831 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2021-05-01 09:59:36,972 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4d9ac0b4{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-05-01 09:59:37,054 | INFO  | Listening for connections at ws://Mahesh:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-05-01 09:59:37,057 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-05-01 09:59:37,060 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59731-1619843376488-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:59:37,063 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-05-01 09:59:38,034 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-05-01 09:59:38,035 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-05-01 10:05:01,228 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59731-1619843376488-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 10:05:01,231 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 10:05:01,233 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 10:05:01,234 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 10:05:01,236 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 10:05:01,244 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2021-05-01 10:05:01,249 | INFO  | PListStore:[C:\Mahesh\code\hsbc_case_study\hsbc_case_study\apache-activemq-5.16.2\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2021-05-01 10:05:01,250 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 10:05:01,251 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 10:05:01,252 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2021-05-01 10:05:01,415 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59731-1619843376488-0:1) uptime 5 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 10:05:01,416 | INFO  | Apache ActiveMQ 5.16.2 (localhost, ID:Mahesh-59731-1619843376488-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2021-05-01 10:05:01,417 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@71423665: startup date [Sat May 01 09:59:35 IST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
